[14/Jul/2021:12:27:40 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:41 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:42 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:42 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:56:22 +0000] - 200 200 - GET http nui.bapuhome.net "/api/config/nginx.conf" [Client 192.168.88.20] [Length 1304] [Gzip 2.64] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:12 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:12 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:14 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domain/bapuhome.net" [Client 192.168.88.20] [Length 685] [Gzip 2.72] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:23 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:23 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:28 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domain/myipam.bapuhome.net" [Client 192.168.88.20] [Length 759] [Gzip 2.77] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:30 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:13:26:30 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
