[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/vendor/moment.min.js?v=1619032969" [Client 192.168.88.20] [Length 17112] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/vendor/Chart.min.js?v=1619032969" [Client 192.168.88.20] [Length 52811] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/font-awesome/js/all.min.js?v=1619032969" [Client 192.168.88.20] [Length 443397] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/pi-hole/js/utils.js?v=1619032969" [Client 192.168.88.20] [Length 3113] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/pi-hole/js/index.js?v=1619032969" [Client 192.168.88.20] [Length 7788] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/pi-hole/js/footer.js?v=1619032969" [Client 192.168.88.20] [Length 2762] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/img/logo.svg" [Client 192.168.88.20] [Length 668] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/img/donate.gif" [Client 192.168.88.20] [Length 3592] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/img/boxed-bg-dark.jpg" [Client 192.168.88.20] [Length 17912] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/themes/default-dark.css?v=1619032969"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-regular.woff2" [Client 192.168.88.20] [Length 16112] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
